ticket_id,sprint,title,estimate_days,dependencies,priority,summary,acceptance
RL-S1-001,S1,"Socle TruffleLanguage et RelangContext",1.5,"",P0,"Creer language/context et cycle create-dispose.","Contexte cree/detruit proprement; pas d'etat global mutable non controle."
RL-S1-002,S1,"Parse minimal et RootNode executable",1.5,"RL-S1-001",P0,"Brancher parse vers CallTarget executable.","Programme constant execute; erreur parse positionnee."
RL-S1-003,S1,"Harness smoke et CLI run/check",1.0,"RL-S1-002",P1,"Mettre en place commandes dev et tests smoke.","run/check/test fonctionnels; smoke tests verts."
RL-S1-004,S1,"Doc architecture et CI baseline",1.0,"RL-S1-003",P1,"Documenter architecture et activer CI build+test.","CI PR active; doc architecture versionnee."
RL-S2-101,S2,"Modele de types primitifs",1.5,"RL-S1-004",P0,"Introduire RelangType et primitives v0.1.","Types reconnus; types inconnus rejetes."
RL-S2-102,S2,"Regles de typage des operateurs",1.5,"RL-S2-101",P0,"Implementer arithmetique/comparaison sans coercion implicite.","Aucune conversion implicite Int/Float; diagnostics clairs."
RL-S2-103,S2,"Optionnels T? et none",1.0,"RL-S2-101",P0,"Support type optionnel et valeur none.","none refuse sur type non optionnel; optionnels valides."
RL-S2-104,S2,"Runtime contract v1 et tests schema",1.0,"RL-S2-101",P0,"Publier schema runtime contract versionne.","Schema versionne present; tests de compatibilite passes."
RL-S3-201,S3,"Bindings et scopes lexicaux",1.5,"RL-S2-104",P0,"Mapper variables sur frames et scopes imbriques.","Shadowing correct; out-of-scope detecte compile-time."
RL-S3-202,S3,"If expression et match minimal",1.5,"RL-S3-201",P0,"Implementer if/match de base.","if non-bool rejete; match invalide rejete."
RL-S3-203,S3,"Boucles for/while et break/continue",1.0,"RL-S3-201",P1,"Ajouter boucles et controle de boucle.","break/continue hors boucle rejete; boucles imbriquees stables."
RL-S3-204,S3,"Conformance matrix et gate CI",1.0,"RL-S3-202",P0,"Initialiser matrice de conformite et check CI.","Matrice versionnee; CI bloque MUST non traces."
RL-S4-301,S4,"Fonctions top-level et appels inline",1.5,"RL-S3-204",P0,"Implementer fn et execution inline.","Fonctions executables; retours corrects."
RL-S4-302,S4,"Parametres nommes/default et hoisting",1.5,"RL-S4-301",P0,"Gerer appels nommes, defaults, appel avant declaration.","Cases invalides rejetees; hoisting couvre recursion simple."
RL-S4-303,S4,"Modules/imports/private et cycles",1.5,"RL-S4-301",P0,"Implementer resolution modules et visibilite.","Cycles detectes; private inaccessible hors module."
RL-S4-304,S4,"Interdiction capture scope et abstraction CallMode",1.0,"RL-S4-302",P0,"Enforcer fonctions self-contained et preparer spawn.","Capture scope toujours rejetee; appels inline inchanges."
RL-S5-401,S5,"Type awaitable *T et handle runtime",1.5,"RL-S4-304",P0,"Introduire type awaitable et identite stable.","await type-check conforme; handle expose id/status."
RL-S5-402,S5,"Checkpoints a suspension await",1.5,"RL-S5-401",P0,"Persister snapshot sur await non resolu.","Snapshot cree; schema v1 respecte."
